Disease,Symptoms,Medications
Sickle Cell Disease,"Numbness, fatigue, vision loss","Hydroxyurea, blood transfusions"
Lupus,"Pain crises, fatigue, jaundice","NSAIDs, corticosteroids, immunosuppressants"
Cystic Fibrosis,"Joint pain, fatigue, rashes","Bronchodilators, antibiotics"
Acute Bronchitis,"Chronic cough, frequent lung infections","Antibiotics, bronchodilators"
Cholangitis,"Cough, fever, wheezing","Antibiotics, bile acid sequestrants"
Cholecystitis,"Fever, jaundice, right upper abdominal pain","Antibiotics, fluids"
Pancreatitis,"Severe abdominal pain, nausea, vomiting","IV fluids, pain relievers"
Diverticulitis,"Abdominal pain, fever, constipation","Antibiotics, pain relievers"
GERD,"Heartburn, chest pain, regurgitation","Proton pump inhibitors, H2 blockers"
Bacterial Meningitis,"Fever, stiff neck, headache","Antibiotics, antivirals"
Viral Meningitis,"Fever, stiff neck, headache","Antivirals, pain relievers"
Shingles,"Painful rash, blisters","Antivirals, steroids"
Tetanus,"Muscle stiffness, spasms","Muscle relaxants, antibiotics"
Rabies,"Fever, hallucinations, agitation","Rabies immunoglobulin, vaccine"
Pneumothorax,"Chest pain, shortness of breath","Chest tube, oxygen therapy"
Vasculitis,"Fever, weight loss, fatigue, rash, joint pain","Corticosteroids, immunosuppressants, ACE inhibitors"
Meningitis,"Fever, headache, neck stiffness, sensitivity to light","Antibiotics (bacterial), antivirals (viral), corticosteroids"
Gastroenteritis,"Diarrhea, nausea, vomiting, stomach cramps, fever","IV fluids, anti-nausea medications, antibiotics (if bacterial)"
Hyperthyroidism,"Rapid heartbeat, weight loss, increased appetite, anxiety","Antithyroid drugs (methimazole), beta blockers"
Hypothyroidism,"Fatigue, weight gain, cold intolerance",Levothyroxine
Rheumatic Fever,"Fever, painful joints, skin rash, heart murmur","Antibiotics, aspirin, anti-inflammatory drugs"
Psoriatic Arthritis,"Joint pain, swelling, stiffness, scaly patches of skin","NSAIDs, DMARDs, biologics"
Bronchitis,"Cough, mucus production, fatigue, shortness of breath","Inhalers, bronchodilators, cough suppressants"
Pleurisy,"Sharp chest pain, worsened by breathing","Anti-inflammatory drugs, antibiotics"
Aplastic Anemia,"Fatigue, shortness of breath, frequent infections","Immunosuppressants, blood transfusions"
Acne,"Pimples, blackheads, cysts","Topical retinoids, oral antibiotics"
Cirrhosis,"Fatigue, jaundice, swollen abdomen","Diuretics, beta blockers, liver transplant"
Diverticulitis,"Abdominal pain, bloating, fever","Antibiotics, pain relievers, liquid diet"
Endometriosis,"Pelvic pain, heavy periods, infertility","Pain relievers, hormone therapy, surgery"
Gallstones,Sudden pain in the upper right abdomen,"Pain relievers, bile acid sequestrants, surgery"
Hepatitis B,"Jaundice, fatigue, dark urine","Antivirals, immune modulators"
Hepatitis C,"Jaundice, nausea, vomiting, fatigue","Antivirals, interferon, ribavirin"
Hyperlipidemia,"High cholesterol levels, chest pain","Statins, cholesterol absorption inhibitors"
Hypertrophic Cardiomyopathy,"Shortness of breath, chest pain, fatigue","Beta blockers, calcium channel blockers"
Infective Endocarditis,"Fever, night sweats, weight loss","Antibiotics, surgery"
Irritable Bowel Syndrome,"Abdominal pain, bloating, constipation, diarrhea","Antispasmodics, fiber supplements, antidepressants"
Lupus,"Fatigue, joint pain, butterfly-shaped rash on the face","NSAIDs, corticosteroids, immunosuppressants"
Lyme Disease,"Fever, rash, joint pain, neurological symptoms","Antibiotics (doxycycline), pain relievers"
Osteoporosis,"Bone pain, loss of height, fractures","Calcium, vitamin D, bisphosphonates"
Pancreatitis,"Severe abdominal pain, nausea, vomiting","Pain relievers, IV fluids, antibiotics"
Pernicious Anemia,"Fatigue, weakness, pale skin","Vitamin B12 supplements, iron supplements"
Pneumothorax,"Sudden chest pain, shortness of breath","Chest tube, oxygen therapy, surgery"
Polycystic Ovary Syndrome,"Irregular periods, infertility, acne","Hormonal contraceptives, anti-androgens, metformin"
Pulmonary Embolism,"Chest pain, rapid heartbeat, coughing blood","Anticoagulants, thrombolytics"
Sarcoidosis,"Fatigue, weight loss, dry cough","Corticosteroids, immunosuppressants"
Sciatica,Lower back pain radiating down the leg,"NSAIDs, corticosteroids, physical therapy"
Sepsis,"High fever, rapid breathing, confusion","Antibiotics, IV fluids"
Sleep Apnea,"Snoring, excessive daytime sleepiness","CPAP machine, weight loss, oral appliances"
Stroke,"Sudden numbness, confusion, difficulty speaking","Thrombolytics, antiplatelet drugs"
Systemic Sclerosis,"Thickened skin, joint pain, Raynaud's phenomenon","Immunosuppressants, calcium channel blockers"
Tendinitis,"Pain, tenderness, limited range of motion","NSAIDs, physical therapy"
Trigeminal Neuralgia,"Sudden, severe facial pain","Anticonvulsants, antidepressants, nerve blocks"
Ulcerative Colitis,"Abdominal pain, diarrhea, rectal bleeding","Aminosalicylates, corticosteroids, immunosuppressants"
Urinary Tract Infection,"Frequent urination, pain during urination","Antibiotics, pain relievers"
Viral Hepatitis,"Jaundice, fatigue, abdominal pain","Antivirals, corticosteroids"
Zollinger-Ellison Syndrome,"Severe stomach pain, weight loss, acid reflux","Proton pump inhibitors, H2 blockers, surgery"
Bacterial Meningitis,"High fever, neck stiffness, sensitivity to light","Antibiotics (ceftriaxone), corticosteroids"
Celiac Disease,"Abdominal pain, bloating, diarrhea after eating gluten",Gluten-free diet
Cholecystitis,"Severe abdominal pain, fever, nausea","Antibiotics, pain relievers"
Cholangitis,"Fever, chills, jaundice","Antibiotics, IV fluids"
Chronic Fatigue Syndrome,"Fatigue, sleep disturbances, muscle pain","Pain relievers, antidepressants, sleep aids"
Ehlers-Danlos Syndrome,"Joint hypermobility, skin that bruises easily","Pain relievers, physical therapy"
Fibromyalgia,"Widespread muscle pain, fatigue, cognitive difficulties","Pain relievers, antidepressants"
Glomerulonephritis,"Swelling in the face, dark urine, high blood pressure","Corticosteroids, immunosuppressants, diuretics"
Hidradenitis Suppurativa,"Painful lumps under the skin, abscesses","Antibiotics, drainage of abscesses"
Laryngitis,"Hoarseness, sore throat, dry cough","Corticosteroids, pain relievers, antibiotics (if bacterial)"
Leukemia,"Fatigue, frequent infections, easy bruising","Chemotherapy, radiation therapy, stem cell transplant"
Migraine,"Throbbing headache, nausea, sensitivity to light","Triptans, anti-nausea medications, pain relievers"
Myocarditis,"Chest pain, shortness of breath, fatigue","Antibiotics, corticosteroids, heart failure medications"
Osteoarthritis,"Joint pain, stiffness, limited range of motion","NSAIDs, physical therapy, corticosteroids"
Parkinson's Disease,"Tremors, slowness of movement, muscle rigidity","Levodopa, dopamine agonists"
Pericarditis,"Sharp chest pain, shortness of breath, fever","NSAIDs, colchicine, corticosteroids"
Phlebitis,"Swelling, tenderness, red skin","Blood thinners, compression stockings, NSAIDs"
Plantar Fasciitis,"Heel pain, difficulty walking","NSAIDs, physical therapy, corticosteroids"
Polio,"Fever, fatigue, muscle weakness","Vaccination, physical therapy, respiratory support"
Prostatitis,"Frequent urination, painful ejaculation, pelvic pain","Antibiotics, alpha-blockers, NSAIDs"
Psoriasis,"Red, scaly patches of skin","Topical corticosteroids, biologics, light therapy"
Pulmonary Hypertension,"Shortness of breath, chest pain, fatigue","Vasodilators, anticoagulants, oxygen therapy"
Raynaud's Disease,"Cold fingers or toes, color changes in skin in response to cold","Calcium channel blockers, vasodilators"
Retinal Detachment,"Sudden flashes of light, floaters, vision loss","Surgery, laser treatment, cryopexy"
Rheumatoid Arthritis,"Joint pain, stiffness, swelling","DMARDs, NSAIDs, corticosteroids"
Rickets,"Bone pain, delayed growth, muscle weakness","Vitamin D supplements, calcium, sun exposure"
Rosacea,"Facial redness, visible blood vessels","Topical antibiotics, laser treatment"
Scoliosis,"Uneven shoulders, back pain, difficulty breathing","Bracing, physical therapy, surgery"
Septic Arthritis,"Fever, joint pain, limited range of motion","Antibiotics, joint drainage, NSAIDs"
Shingles,"Painful rash, blisters, sensitivity to touch","Antiviral medications (acyclovir), pain relievers"
Sjögren's Syndrome,"Dry eyes, dry mouth, joint pain","NSAIDs, corticosteroids, immunosuppressants"
Spinal Stenosis,"Back pain, leg numbness, weakness","Pain relievers, physical therapy, corticosteroids"
Sprains and Strains,"Pain, swelling, limited mobility","Rest, ice, compression, elevation (RICE)"
Strep Throat,"Sore throat, fever, swollen lymph nodes","Antibiotics, pain relievers"
Swimmer's Ear,"Ear pain, itchiness, discharge","Antibiotic ear drops, pain relievers"
Syphilis,"Sores, rashes, fever, fatigue","Antibiotics (penicillin), pain relievers"
Tetanus,"Jaw cramping, muscle stiffness","Tetanus immunoglobulin, tetanus toxoid vaccine"
Thalassemia,"Fatigue, weakness, pale skin","Blood transfusions, folic acid supplements"
Thrombocytopenia,"Easy bruising, prolonged bleeding","Corticosteroids, immune globulin, platelet transfusions"
Thyroid Cancer,"Lump in neck, difficulty swallowing","Surgery, radioactive iodine, thyroid hormone replacement"
Tinnitus,"Ringing in the ears, hearing loss","Antianxiety medications, hearing aids"
Tonsillitis,"Sore throat, difficulty swallowing","Antibiotics, pain relievers, corticosteroids"
Tourette Syndrome,"Involuntary movements, vocal tics","Antipsychotics, antidepressants"
Toxic Shock Syndrome,"Fever, rash, low blood pressure","Antibiotics, intravenous fluids"
Trichomoniasis,"Vaginal discharge, painful urination","Antibiotics, antifungals"
Tuberculosis,"Cough, fever, weight loss","Antibiotics (isoniazid), rifampin"
Turner Syndrome,"Short stature, webbed neck, delayed puberty","Hormone replacement therapy, growth hormone"
Ulcer,"Burning stomach pain, bloating, nausea","Proton pump inhibitors, antacids"
Urticaria,"Itchy welts, swelling, redness","Antihistamines, corticosteroids"
Vascular Dementia,"Memory loss, confusion, disorientation","Cholinesterase inhibitors, memantine"
Vitiligo,White patches on skin,"Topical corticosteroids, light therapy"
Vocal Cord Paralysis,"Hoarseness, trouble breathing, choking","Speech therapy, surgery"
Von Willebrand Disease,"Excessive bleeding, frequent nosebleeds","Desmopressin, clotting factor replacement"
Wegener's Granulomatosis,"Nosebleeds, weight loss, joint pain","Immunosuppressants, corticosteroids, cyclophosphamide"
Whiplash,"Neck pain, headaches, dizziness","NSAIDs, muscle relaxants"
Wilson's Disease,"Fatigue, jaundice, muscle stiffness","Zinc, penicillamine"
Wolff-Parkinson-White Syndrome,"Rapid heartbeat, fainting, chest pain","Beta blockers, catheter ablation"
Yellow Fever,"Fever, headache, jaundice","Antiviral medications, supportive care"
Zika Virus,"Fever, rash, joint pain","Antiviral medications, supportive care"
Addison's Disease,"Fatigue, weight loss, low blood pressure","Corticosteroids, hormone replacement therapy"
Adrenal Insufficiency,"Weakness, fatigue, weight loss","Corticosteroids, hormone replacement therapy"
Alkaptonuria,"Darkening of urine, joint pain, heart valve issues","Vitamin C, low-protein diet"
Alpha-1 Antitrypsin Deficiency,"Liver disease, lung problems, jaundice","Liver transplant, augmentation therapy"
Ankylosing Spondylitis,"Lower back pain, stiffness, fatigue","NSAIDs, physical therapy, biologics"
Autoimmune Hepatitis,"Fatigue, jaundice, joint pain","Immunosuppressants, corticosteroids"
Barrett's Esophagus,"Heartburn, difficulty swallowing, chest pain","Proton pump inhibitors, H2 blockers"
Berylliosis,"Cough, shortness of breath, weight loss","Corticosteroids, bronchodilators"
Bird Fancier's Lung,"Cough, wheezing, fever","Corticosteroids, immunosuppressants"
Bladder Cancer,"Blood in urine, frequent urination","Chemotherapy, surgery, immunotherapy"
Budd-Chiari Syndrome,"Abdominal pain, swelling, jaundice","Anticoagulants, thrombolytics, surgery"
Cervical Spondylosis,"Neck pain, arm weakness, headaches","NSAIDs, physical therapy, surgery"
Charcot-Marie-Tooth Disease,"Muscle weakness, loss of sensation, foot deformities","Physical therapy, braces, pain relievers"
Chronic Lymphocytic Leukemia,"Swollen lymph nodes, fatigue, frequent infections","Chemotherapy, radiation therapy, stem cell transplant"
Chronic Pancreatitis,"Abdominal pain, nausea, weight loss","Enzyme supplements, pain relievers"
Cushing's Syndrome,"Weight gain, fatigue, high blood pressure","Corticosteroids, radiation therapy, surgery"
Diabetic Retinopathy,"Blurry vision, floaters, difficulty seeing at night","Laser surgery, corticosteroids"
Duchenne Muscular Dystrophy,"Muscle weakness, frequent falls, difficulty walking","Corticosteroids, physical therapy, braces"
Eosinophilic Esophagitis,"Difficulty swallowing, chest pain, food impaction","Proton pump inhibitors, corticosteroids"
Esophageal Cancer,"Difficulty swallowing, chest pain, weight loss","Chemotherapy, radiation therapy, surgery"
Erythema Multiforme,"Fever, fatigue, joint pain, red skin lesions","Antibiotics, antiviral drugs, corticosteroids"
Fanconi Anemia,"Fatigue, frequent infections, easy bruising","Bone marrow transplant, androgen therapy"
Fetal Alcohol Syndrome,"Small head size, learning difficulties, vision problems","Special education, behavioral therapy"
Folliculitis,"Red, itchy bumps, pustules","Antibiotics, corticosteroids, antifungal creams"
Galactosemia,"Liver damage, intellectual disability, vomiting","Soy-free diet, calcium supplements"
Granulomatosis with Polyangiitis,"Nosebleeds, joint pain, fatigue","Immunosuppressants, corticosteroids"
Guillain-Barré Syndrome,"Tingling, muscle weakness, difficulty walking","Immunoglobulin therapy, plasma exchange"
Hemochromatosis,"Fatigue, joint pain, bronze skin","Phlebotomy, iron chelation therapy"
Hepatic Encephalopathy,"Confusion, drowsiness, tremor","Lactulose, rifaximin"
Hereditary Angioedema,"Swelling in face, hands, and throat","C1 inhibitor concentrate, androgens"
Hirschsprung's Disease,"Constipation, vomiting, swollen abdomen","Surgery, laxatives, antibiotics"
Huntington's Disease,"Involuntary movements, cognitive decline, depression","Antidepressants, physical therapy"
Hyperaldosteronism,"High blood pressure, muscle cramps, fatigue","Aldosterone antagonists, diuretics"
Hypoparathyroidism,"Muscle cramps, brittle nails, fatigue","Calcium supplements, vitamin D, PTH injections"
Idiopathic Pulmonary Fibrosis,"Shortness of breath, chronic cough, fatigue","Corticosteroids, oxygen therapy"
Kawasaki Disease,"Fever, rash, swollen lymph nodes","Intravenous immunoglobulin, aspirin"
Klinefelter Syndrome,"Tall stature, learning disabilities, infertility","Testosterone therapy, fertility treatment"
Lambert-Eaton Myasthenic Syndrome,"Muscle weakness, dry mouth, difficulty walking","Immunosuppressants, corticosteroids"
Legionnaires' Disease,"Fever, cough, muscle aches","Antibiotics, intravenous fluids"
Leprosy,"Skin lesions, numbness, muscle weakness",Multidrug antibiotic therapy
Leptospirosis,"Fever, muscle pain, red eyes","Antibiotics, pain relievers"
Lichen Planus,"Purple, itchy patches on the skin","Antihistamines, corticosteroids"
Liver Cancer,"Jaundice, weight loss, loss of appetite","Chemotherapy, radiation therapy, surgery"
Maple Syrup Urine Disease,"Vomiting, difficulty feeding, sweet-smelling urine","Dietary changes, amino acid supplements"
Marfan Syndrome,"Tall stature, long limbs, vision problems","Beta blockers, aortic repair surgery"
Mastocytosis,"Skin rash, abdominal pain, diarrhea","Corticosteroids, antihistamines"
Melanoma,"Dark, irregular moles, skin changes","Chemotherapy, radiation therapy, surgery"
Menkes Disease,"Seizures, sparse hair, developmental delay","Copper supplements, anticonvulsants"
Mesothelioma,"Shortness of breath, chest pain, weight loss","Chemotherapy, radiation therapy, surgery"
Neurofibromatosis,"Soft bumps on the skin, bone pain, learning disabilities","Antivirals, vaccination"
